state_code,state_name,district_code,district_name,mukim_code,mukim_name,mukim_id
02,KEDAH,02,KUBANG PASU,43,BANDAR TUNJANG,1030000893
02,KEDAH,12,POKOK SENA,01,DERANG,1030000860
02,KEDAH,02,KUBANG PASU,14,PELUBANG,1030000888
02,KEDAH,02,KUBANG PASU,01,AH,1030000881
02,KEDAH,01,KOTA SETAR,22,PADANG HANG,1030000978
02,KEDAH,01,KOTA SETAR,17,LENGKUAS,1030000836
02,KEDAH,01,KOTA SETAR,30,TELAGA MAS,1030000876
02,KEDAH,01,KOTA SETAR,18,LEPAI,1030000837
02,KEDAH,12,POKOK SENA,03,TUALANG,1030000862
02,KEDAH,12,POKOK SENA,02,LESONG,1030000861
02,KEDAH,01,KOTA SETAR,01,ALOR MALAI,1030000873
02,KEDAH,11,PENDANG,08,TOBIAR,1030000857
02,KEDAH,11,PENDANG,06,PADANG PUSING,1030000939
02,KEDAH,11,PENDANG,04,PADANG KERBAU,1030000938
02,KEDAH,11,PENDANG,76,PEKAN SUNGAI TIANG,1030000965
02,KEDAH,11,PENDANG,72,PEKAN TANAH MERAH,1030000859
02,KEDAH,11,PENDANG,03,GUAR KEPAYANG,1030000937
02,KEDAH,01,KOTA SETAR,16,LANGGAR,1030001864
02,KEDAH,01,KOTA SETAR,07,DERGA,1030000834
02,KEDAH,01,KOTA SETAR,20,LIMBONG,1030000838
02,KEDAH,01,KOTA SETAR,28,TAJAR,1030000839
02,KEDAH,11,PENDANG,71,PEKAN KUBUR PANJANG,1030000942
02,KEDAH,11,PENDANG,07,RAMBAI,1030001865
02,KEDAH,01,KOTA SETAR,03,ANAK BUKIT,1030000833
02,KEDAH,01,KOTA SETAR,33,TITI GAJAH,1030000877
02,KEDAH,02,KUBANG PASU,46,BANDAR KEPALA BATAS,1030001866
02,KEDAH,03,PADANG TERAP,70,PEKAN NAKA,1030000903
03,KELANTAN,01,BACHOK,01,ALOR BAKAT,1030001022
03,KELANTAN,01,BACHOK,02,BACHOK,1030001023
03,KELANTAN,01,BACHOK,03,BATOR,1030001024
03,KELANTAN,01,BACHOK,04,CHAP,1030001025
03,KELANTAN,01,BACHOK,05,CHERANG HANGUS,1030001026
