sublocality_id,state_id,state_name,sub_locality_name
496,1,JOHOR,FELDA BATU 27 LENGA
497,1,JOHOR,FELDA BATU LENGA 27
498,1,JOHOR,FELDA BKT BESAR GUGUSAN TAIB ANDAK
499,1,JOHOR,FELDA BUKIT APING BARAT
500,1,JOHOR,FELDA BUKIT APING TIMUR
501,1,JOHOR,FELDA BUKIT BATU
502,1,JOHOR,FELDA BUKIT BESAR
503,1,JOHOR,FELDA BUKIT BESAR GUGUSAN TAIB ANDAK
504,1,JOHOR,FELDA BUKIT EASTER
505,1,JOHOR,FELDA BUKIT PERMAI
506,1,JOHOR,FELDA BUKIT PERMAI LAYANG LAYANG
507,1,JOHOR,FELDA BUKIT RAMUN
508,1,JOHOR,FELDA BUKIT SERAMPANG
509,1,JOHOR,FELDA BUKIT TONGKANG
510,1,JOHOR,FELDA BUKIT TONGKAT
511,1,JOHOR,FELDA BUKIT WAHA
512,1,JOHOR,FELDA BUKITWAHA
513,1,JOHOR,FELDA CAHAYA BARU
514,1,JOHOR,FELDA CEMPELAK LABIS
515,1,JOHOR,FELDA CEMPLAK
516,1,JOHOR,FELDA CEMPLAK BARAT
517,1,JOHOR,FELDA CHEMPLAK
518,1,JOHOR,FELDA CHEMPLAK BARAT
519,1,JOHOR,FELDA ENDAU
520,1,JOHOR,FELDA INAS
521,1,JOHOR,FELDA INAS UTARA
522,1,JOHOR,FELDA KAHANG BARAT
523,1,JOHOR,FELDA KAHANG TIMUR
524,1,JOHOR,FELDA KAHANG TIMUR 3
525,1,JOHOR,FELDA KAHANG TIMUR 5
526,1,JOHOR,FELDA KAHANG TIMUR PS 112
527,1,JOHOR,FELDA KEMELAH
528,1,JOHOR,FELDA KLEDANG
529,1,JOHOR,FELDA LAYANG LAYANG
530,1,JOHOR,FELDA LENGA
531,1,JOHOR,FELDA LINGGIU
532,1,JOHOR,FELDA LOK HENG
533,1,JOHOR,FELDA LOK HENG BARAT
534,1,JOHOR,FELDA LOK HENG SELATAN
535,1,JOHOR,FELDA LOK HENG TIMUR
536,1,JOHOR,FELDA MAOKIL
537,1,JOHOR,FELDA MAOKIL 1
538,1,JOHOR,FELDA MAOKIL 2
539,1,JOHOR,FELDA MAOKIL 3
540,1,JOHOR,FELDA MAOKIL 4
541,1,JOHOR,FELDA MAOKIL 4 BLOCK 2
542,1,JOHOR,FELDA MEDOI
543,1,JOHOR,FELDA MOAKIL 4
544,1,JOHOR,FELDA NITAR
545,1,JOHOR,FELDA NITAR 1
546,1,JOHOR,FELDA NITAR 2
547,1,JOHOR,FELDA PALONG TIMUR
548,1,JOHOR,FELDA PALONG TIMUR 1
549,1,JOHOR,FELDA PALONG TIMUR 2
550,1,JOHOR,FELDA PALONG TIMUR 3
551,1,JOHOR,FELDA PAPAN TIMUR
552,1,JOHOR,FELDA PASAK
553,1,JOHOR,FELDA PASAK PERINGKAT 3
554,1,JOHOR,FELDA PASIR RAJA
555,1,JOHOR,FELDA PEMANIS
556,1,JOHOR,FELDA PEMANIS 1
557,1,JOHOR,FELDA PEMANIS 2
558,1,JOHOR,FELDA PENGGELI TIMUR
559,1,JOHOR,FELDA REDONG
560,1,JOHOR,FELDA REDONG 1
561,1,JOHOR,FELDA REDONG LABIS
562,1,JOHOR,FELDA REDONG SATU
563,1,JOHOR,FELDA REDONG TENANG
564,1,JOHOR,FELDA SEMENCHU
565,1,JOHOR,FELDA SEMENCU
566,1,JOHOR,FELDA SENING
567,1,JOHOR,FELDA SERI JAYA
568,1,JOHOR,FELDA SERI JAYA BUKIT SERAMPANG
569,1,JOHOR,FELDA SERI JAYA BUKIT SERAMPANG LEDANG
570,1,JOHOR,FELDA SIMPANG BUKIT WAHA
571,1,JOHOR,FELDA SIMPANG WAHA
572,1,JOHOR,FELDA SRI JAYA
573,1,JOHOR,FELDA SRI JAYA BUKIT SERAMPANG
574,1,JOHOR,FELDA SRI JAYA BUKIT SERAMPANG LEDANG
575,1,JOHOR,FELDA SRI LEDANG
576,1,JOHOR,FELDA SRI LEDANG BKT SERAMPANG
577,1,JOHOR,FELDA SUNGAI MAS
578,1,JOHOR,FELDA SUNGAI SAYONG
579,1,JOHOR,FELDA SUNGAI SIBOL
580,1,JOHOR,FELDA TAIB ANDAK
581,1,JOHOR,FELDA TENANG
582,1,JOHOR,FELDA TENGGAROH
583,1,JOHOR,FELDA TENGGAROH 1
584,1,JOHOR,FELDA TENGGAROH 2
585,1,JOHOR,FELDA TENGGAROH 3
586,1,JOHOR,FELDA TENGGAROH 4
587,1,JOHOR,FELDA TENGGAROH 5
588,1,JOHOR,FELDA TENGGAROH 6
589,1,JOHOR,FELDA TENGGAROH 7
590,1,JOHOR,FELDA TENGGAROH 9
